code,variable
treatment,treatment
Partner_Choice_1,invest_A_limit
Partner_Choice_2,invest_B_limit
Partner_Choice_3,invest_C_limit
Partner_Choice_4,invest_X_limit
Gossip_reception_1,gossip_is_true
Gossip_reception_2,orange_is_risky
Gossip_reception_3,orange_is_unethical
Gossip_intention_1_rev,intent_selfish
Gossip_intention_2,intent_altruistic
Gossip_intention_3,intent_fact_telling
Relational_Mobility_1,rm_1_meet_many
Relational_Mobility_2,rm_2_talk_strangers
Relational_Mobility_3,rm_3_choose_partners
Relational_Mobility_4_rev,rm_4_few_friends_rev
Relational_Mobility_5_rev,rm_5_uncommon_talk_rev
Relational_Mobility_6,rm_6_leave_for_better
Relational_Mobility_7_rev,rm_7_cannot_choose_rev
Relational_Mobility_8,rm_8_easy_to_meet
Relational_Mobility_9_rev,rm_9_stay_in_group_rev
Relational_Mobility_10,rm_10_choose_groups
Relational_Mobility_11_rev,rm_11_must_stay_rel_rev
Relational_Mobility_12_rev,rm_12_must_stay_group_rev
