,treatment,rm_5_uncommon_talk_rev,rm_1_meet_many,rm_3_choose_partners,rm_4_few_friends_rev,rm_6_leave_for_better,rm_10_choose_groups,rm_2_talk_strangers,rm_8_easy_to_meet,rm_9_stay_in_group_rev,rm_12_must_stay_group_rev,rm_7_cannot_choose_rev,rm_11_must_stay_rel_rev
treatment,1.0,-0.033706087462499396,-0.06786469099782924,0.004212066110467594,0.1758013057115788,-0.08493957968235996,-0.21281359003805456,-0.29235176907960414,0.007137139000887848,-0.028298045249206975,0.06876317584503064,-0.22726344252461994,0.2515289235430279
rm_5_uncommon_talk_rev,-0.033706087462499396,1.0,0.22956174221547784,0.2552665766644596,0.42224725737111896,0.08786178900599989,0.06757927195363132,0.49837946153540946,0.30711327260586,0.2935109068069478,0.2858206549445414,0.26209004444601136,0.31137352504519117
rm_1_meet_many,-0.06786469099782924,0.22956174221547784,1.0,0.316281978362697,0.5398547998454271,0.13958090275574472,0.2513023526425281,0.5368961522504936,0.5011770269450411,-0.1564915391201158,-0.16659484391292148,0.037848933876286205,-0.0961245316573654
rm_3_choose_partners,0.004212066110467594,0.2552665766644596,0.316281978362697,1.0,0.16500237221476813,0.1744409302519129,0.16636832441578173,0.3557375295522343,0.006383356020820686,-0.02062245029225522,0.03014900767501283,0.14136453285950504,-0.00995793785926338
rm_4_few_friends_rev,0.1758013057115788,0.42224725737111896,0.5398547998454271,0.16500237221476813,1.0,-0.08208880776820665,0.2240887262853624,0.4282772551846679,0.6208999445305846,0.13008234951275413,0.2729650640945472,0.03350224562012162,0.2741200216315805
rm_6_leave_for_better,-0.08493957968235996,0.08786178900599989,0.13958090275574472,0.1744409302519129,-0.08208880776820665,1.0,0.4549731555645414,0.15034171245883385,0.07670498303391231,0.07499974633225376,0.07176614269395222,0.23795103324898076,0.0899136858451722
rm_10_choose_groups,-0.21281359003805456,0.06757927195363132,0.2513023526425281,0.16636832441578173,0.2240887262853624,0.4549731555645414,1.0,0.16043908479005095,0.42662771860395327,0.1591031887367133,0.3172129155363106,0.45739968919881985,0.240700095407962
rm_2_talk_strangers,-0.29235176907960414,0.49837946153540946,0.5368961522504936,0.3557375295522343,0.4282772551846679,0.15034171245883385,0.16043908479005095,1.0,0.33383809376843115,0.18665153162768533,0.05057575494523003,0.14061493009860385,-0.10456529731818276
rm_8_easy_to_meet,0.007137139000887848,0.30711327260586,0.5011770269450411,0.006383356020820686,0.6208999445305846,0.07670498303391231,0.42662771860395327,0.33383809376843115,1.0,0.2199279710223726,0.26493469994208135,0.24389072489893163,0.20706216263956057
rm_9_stay_in_group_rev,-0.028298045249206975,0.2935109068069478,-0.1564915391201158,-0.02062245029225522,0.13008234951275413,0.07499974633225376,0.1591031887367133,0.18665153162768533,0.2199279710223726,1.0,0.6888976888606843,0.3269410595137168,0.5045107813223071
rm_12_must_stay_group_rev,0.06876317584503064,0.2858206549445414,-0.16659484391292148,0.03014900767501283,0.2729650640945472,0.07176614269395222,0.3172129155363106,0.05057575494523003,0.26493469994208135,0.6888976888606843,1.0,0.34866438026743835,0.6779614298420248
rm_7_cannot_choose_rev,-0.22726344252461994,0.26209004444601136,0.037848933876286205,0.14136453285950504,0.03350224562012162,0.23795103324898076,0.45739968919881985,0.14061493009860385,0.24389072489893163,0.3269410595137168,0.34866438026743835,1.0,0.22393946717035038
rm_11_must_stay_rel_rev,0.2515289235430279,0.31137352504519117,-0.0961245316573654,-0.00995793785926338,0.2741200216315805,0.0899136858451722,0.240700095407962,-0.10456529731818276,0.20706216263956057,0.5045107813223071,0.6779614298420248,0.22393946717035038,1.0
