treatment,invest_A_limit,invest_B_limit,invest_C_limit,invest_X_limit,gossip_is_true,orange_is_risky,orange_is_unethical,intent_selfish_induction,intent_altruistic_induction,intent_fact_telling_induction,intent_selfish,intent_altruistic,intent_fact_telling,rm_1_meet_many,rm_2_talk_strangers,rm_3_choose_partners,rm_4_few_friends_rev,rm_5_uncommon_talk_rev,rm_6_leave_for_better,rm_7_cannot_choose_rev,rm_8_easy_to_meet,rm_9_stay_in_group_rev,rm_10_choose_groups,rm_11_must_stay_rel_rev,rm_12_must_stay_group_rev,Mean_Gossip_reception,Mean_Gossip_intention,z_Mean_Gossip_reception,z_Mean_Gossip_intention
1,4,1,3,2,2,4,1,1,1,1,1.0,2.0,2.0,3,2,4,3.0,3.0,4,3.0,6,3.0,5,3.0,3.0,2.3333333333333335,1.6666666666666667,-1.2470980534025993,-1.1322078139366218
1,4,2,3,1,3,3,3,1,1,1,4.0,3.0,3.0,2,2,4,4.0,4.0,4,3.0,2,3.0,3,4.0,4.0,3.0,3.3333333333333335,-0.5411934948728259,0.7137831870470006
1,4,1,3,2,3,3,2,1,1,1,3.0,2.0,3.0,4,3,5,5.0,5.0,5,5.0,5,5.0,5,5.0,5.0,2.6666666666666665,2.6666666666666665,-0.8941457741377128,-0.0246132133464487
0,4,1,3,2,4,4,3,1,1,1,3.0,4.0,3.0,4,4,5,3.0,4.0,4,4.0,3,4.0,5,4.0,4.0,3.6666666666666665,3.3333333333333335,0.16471106365694752,0.7137831870470006
0,4,1,3,2,4,3,2,1,1,1,2.0,2.0,1.0,4,6,6,2.0,2.0,6,4.0,2,2.0,6,2.0,2.0,3.0,1.6666666666666667,-0.5411934948728259,-1.1322078139366218
1,3,2,4,1,3,4,4,1,1,1,3.0,2.0,2.0,4,3,5,2.0,3.0,5,3.0,2,3.0,4,3.0,3.0,3.6666666666666665,2.3333333333333335,0.16471106365694752,-0.39381141354317284
1,4,1,3,2,3,5,2,1,1,1,2.0,2.0,2.0,5,3,5,5.0,3.0,2,2.0,5,2.0,3,2.0,2.0,3.3333333333333335,2.0,-0.18824121560793894,-0.7630096137398975
1,4,1,3,2,4,5,3,1,1,1,2.0,2.0,1.0,6,3,5,2.0,2.0,6,3.0,2,2.0,5,2.0,1.0,4.0,1.6666666666666667,0.5176633429218345,-1.1322078139366218
0,4,1,3,2,4,4,3,1,1,1,3.0,2.0,1.0,5,5,4,5.0,4.0,4,3.0,5,3.0,5,3.0,3.0,3.6666666666666665,2.0,0.16471106365694752,-0.7630096137398975
1,4,1,3,2,4,6,1,1,1,1,2.0,2.0,3.0,3,1,6,3.0,1.0,1,3.0,1,1.0,2,1.0,1.0,3.6666666666666665,2.3333333333333335,0.16471106365694752,-0.39381141354317284
0,4,2,3,1,5,5,3,1,1,1,2.0,3.0,4.0,5,6,5,6.0,6.0,4,5.0,6,4.0,5,5.0,5.0,4.333333333333333,3.0,0.8706156221867208,0.34458498685027594
0,4,2,3,1,5,6,4,1,1,1,1.0,6.0,6.0,5,2,2,5.0,2.0,6,6.0,6,2.0,6,5.0,3.0,5.0,4.333333333333333,1.5765201807164948,1.8213777876371735
0,3,4,1,2,2,3,3,1,1,1,2.0,3.0,2.0,3,4,5,3.0,3.0,6,4.0,2,5.0,5,5.0,5.0,2.6666666666666665,2.3333333333333335,-0.8941457741377128,-0.39381141354317284
0,4,2,3,1,4,4,4,1,1,1,3.0,3.0,4.0,4,3,4,4.0,3.0,3,3.0,4,3.0,4,3.0,3.0,4.0,3.3333333333333335,0.5176633429218345,0.7137831870470006
1,4,1,3,2,3,4,3,1,1,1,2.0,3.0,3.0,3,3,4,3.0,3.0,4,3.0,4,4.0,4,4.0,4.0,3.3333333333333335,2.6666666666666665,-0.18824121560793894,-0.0246132133464487
0,3,4,2,1,3,4,5,1,1,1,3.0,2.0,2.0,4,4,4,5.0,5.0,4,5.0,5,5.0,5,5.0,5.0,4.0,2.3333333333333335,0.5176633429218345,-0.39381141354317284
0,4,1,3,2,5,4,2,1,1,1,5.0,5.0,5.0,5,5,5,4.0,5.0,5,4.0,5,3.0,4,3.0,3.0,3.6666666666666665,5.0,0.16471106365694752,2.5597741880306226
0,3,2,4,1,5,5,4,1,1,1,3.0,3.0,3.0,4,4,5,4.0,4.0,4,4.0,4,4.0,4,4.0,4.0,4.666666666666667,3.0,1.2235679014516083,0.34458498685027594
1,4,1,3,2,2,1,1,1,1,1,2.0,1.0,1.0,3,1,4,2.0,3.0,6,3.0,2,2.0,5,4.0,4.0,1.3333333333333333,1.3333333333333333,-2.3059548911972594,-1.5014060141333465
1,4,1,2,3,2,3,1,1,1,1,2.0,1.0,1.0,5,5,5,5.0,5.0,6,6.0,6,5.0,6,3.0,5.0,2.0,1.3333333333333333,-1.6000503326674862,-1.5014060141333465
0,4,1,3,2,4,4,4,1,1,1,2.0,4.0,4.0,3,3,5,4.0,4.0,2,5.0,3,3.0,5,4.0,5.0,4.0,3.3333333333333335,0.5176633429218345,0.7137831870470006
1,4,2,3,1,3,4,2,1,1,1,4.0,2.0,4.0,4,4,5,5.0,5.0,1,3.0,3,2.0,3,3.0,2.0,3.0,3.3333333333333335,-0.5411934948728259,0.7137831870470006
0,4,1,3,2,5,4,3,1,1,1,3.0,2.0,1.0,6,6,4,6.0,6.0,4,3.0,6,3.0,6,2.0,2.0,4.0,2.0,0.5176633429218345,-0.7630096137398975
0,4,3,2,1,4,5,4,1,1,1,3.0,3.0,2.0,5,5,5,4.0,5.0,4,3.0,4,3.0,4,4.0,5.0,4.333333333333333,2.6666666666666665,0.8706156221867208,-0.0246132133464487
1,4,1,3,2,3,4,3,1,1,1,3.0,3.0,3.0,5,5,5,4.0,4.0,3,5.0,5,3.0,5,5.0,5.0,3.3333333333333335,3.0,-0.18824121560793894,0.34458498685027594
0,4,2,3,1,5,5,5,1,1,1,5.0,2.0,5.0,4,4,5,4.0,6.0,4,5.0,3,3.0,5,3.0,3.0,5.0,4.0,1.5765201807164948,1.4521795874404493
0,2,1,3,4,2,1,1,1,1,1,2.0,1.0,1.0,2,2,2,2.0,2.0,5,4.0,4,5.0,5,3.0,6.0,1.3333333333333333,1.3333333333333333,-2.3059548911972594,-1.5014060141333465
0,4,3,2,1,5,5,4,1,1,1,2.0,3.0,4.0,4,4,5,4.0,2.0,5,4.0,3,2.0,5,2.0,2.0,4.666666666666667,3.0,1.2235679014516083,0.34458498685027594
0,4,3,2,1,4,4,4,1,1,1,3.0,4.0,4.0,2,1,4,3.0,3.0,4,3.0,4,1.0,5,2.0,3.0,4.0,3.6666666666666665,0.5176633429218345,1.0829813872437246
1,4,1,3,2,3,5,3,1,1,1,1.0,2.0,2.0,6,4,6,5.0,2.0,5,2.0,5,2.0,4,3.0,2.0,3.6666666666666665,1.6666666666666667,0.16471106365694752,-1.1322078139366218
0,4,2,3,1,4,5,4,1,1,1,4.0,4.0,4.0,2,2,4,2.0,2.0,5,3.0,3,4.0,4,3.0,3.0,4.333333333333333,4.0,0.8706156221867208,1.4521795874404493
1,4,2,3,1,4,3,4,1,1,1,4.0,1.0,1.0,2,2,4,3.0,3.0,1,3.0,2,3.0,4,3.0,3.0,3.6666666666666665,2.0,0.16471106365694752,-0.7630096137398975
0,4,1,3,2,5,5,4,1,1,1,5.0,5.0,4.0,3,5,3,3.0,5.0,2,3.0,3,2.0,3,2.0,2.0,4.666666666666667,4.666666666666667,1.2235679014516083,2.1905759878338986
1,4,2,3,1,2,4,1,1,1,1,3.0,2.0,2.0,2,2,3,4.0,3.0,4,4.0,3,3.0,4,4.0,4.0,2.3333333333333335,2.3333333333333335,-1.2470980534025993,-0.39381141354317284
0,3,4,2,1,4,4,2,1,1,1,2.0,3.0,3.0,4,2,5,2.0,3.0,3,3.0,2,2.0,2,2.0,2.0,3.3333333333333335,2.6666666666666665,-0.18824121560793894,-0.0246132133464487
1,4,1,3,2,5,5,5,1,1,1,2.0,2.0,2.0,5,5,5,5.0,5.0,5,2.0,5,3.0,5,5.0,5.0,5.0,2.0,1.5765201807164948,-0.7630096137398975
1,4,1,3,2,5,5,4,1,1,1,3.0,2.0,4.0,5,4,6,5.0,6.0,4,5.0,3,4.0,4,4.0,4.0,4.666666666666667,3.0,1.2235679014516083,0.34458498685027594
1,4,1,3,2,3,2,2,1,1,1,2.0,3.0,1.0,2,3,1,4.0,3.0,6,3.0,2,2.0,3,3.0,4.0,2.3333333333333335,2.0,-1.2470980534025993,-0.7630096137398975
1,4,2,3,1,4,5,5,1,1,1,3.0,3.0,3.0,5,3,4,4.0,3.0,4,4.0,4,3.0,3,3.0,3.0,4.666666666666667,3.0,1.2235679014516083,0.34458498685027594
0,4,2,3,1,3,5,3,1,1,1,3.0,4.0,4.0,4,2,4,3.0,4.0,2,3.0,2,3.0,3,4.0,3.0,3.6666666666666665,3.6666666666666665,0.16471106365694752,1.0829813872437246
1,4,1,3,2,2,2,2,1,1,1,3.0,2.0,2.0,5,3,4,5.0,4.0,5,4.0,4,2.0,5,2.0,2.0,2.0,2.3333333333333335,-1.6000503326674862,-0.39381141354317284
1,4,1,3,2,2,4,2,1,1,1,2.0,2.0,2.0,4,3,4,4.0,4.0,4,3.0,4,3.0,4,4.0,3.0,2.6666666666666665,2.0,-0.8941457741377128,-0.7630096137398975
1,4,3,2,1,3,3,5,1,1,1,3.0,4.0,4.0,4,3,4,4.0,3.0,4,3.0,4,3.0,4,5.0,2.0,3.6666666666666665,3.6666666666666665,0.16471106365694752,1.0829813872437246
0,4,2,3,1,4,3,2,1,1,1,3.0,2.0,2.0,2,2,5,2.0,4.0,5,5.0,2,3.0,5,5.0,4.0,3.0,2.3333333333333335,-0.5411934948728259,-0.39381141354317284
1,4,1,3,2,3,4,1,1,1,1,2.0,2.0,1.0,2,1,5,1.0,5.0,6,3.0,1,1.0,4,5.0,1.0,2.6666666666666665,1.6666666666666667,-0.8941457741377128,-1.1322078139366218
