treatment,invest_A_limit,invest_B_limit,invest_C_limit,invest_X_limit,gossip_is_true,orange_is_risky,orange_is_unethical,intent_selfish,intent_altruistic,intent_fact_telling,rm_1_meet_many,rm_2_talk_strangers,rm_3_choose_partners,rm_4_few_friends_rev,rm_5_uncommon_talk_rev,rm_6_leave_for_better,rm_7_cannot_choose_rev,rm_8_easy_to_meet,rm_9_stay_in_group_rev,rm_10_choose_groups,rm_11_must_stay_rel_rev,rm_12_must_stay_group_rev
0,4,1,3,2,4,4,3,3.0,4,3,4,4,5,3.0,4.0,4,4.0,3,4.0,5,4.0,4.0
0,4,3,2,1,5,5,5,7.0,3,5,4,4,5,4.0,2.0,5,2.0,3,3.0,4,2.0,2.0
0,4,1,3,2,4,3,2,2.0,2,1,4,6,6,2.0,2.0,6,4.0,2,2.0,6,2.0,2.0
0,4,1,3,2,4,4,3,3.0,2,1,5,5,4,5.0,4.0,4,3.0,5,3.0,5,3.0,3.0
0,4,2,3,1,5,5,3,2.0,3,4,5,6,5,6.0,6.0,4,5.0,6,4.0,5,5.0,5.0
0,4,2,3,1,5,6,4,1.0,6,6,5,2,2,5.0,2.0,6,6.0,6,2.0,6,5.0,3.0
0,3,4,1,2,2,3,3,2.0,3,2,3,4,5,3.0,3.0,6,4.0,2,5.0,5,5.0,5.0
0,4,2,3,1,4,4,4,3.0,3,4,4,3,4,4.0,3.0,3,3.0,4,3.0,4,3.0,3.0
0,3,4,2,1,3,4,5,3.0,2,2,4,4,4,5.0,5.0,4,5.0,5,5.0,5,5.0,5.0
0,4,1,3,2,5,4,2,5.0,5,5,5,5,5,4.0,5.0,5,4.0,5,3.0,4,3.0,3.0
0,3,2,4,1,5,5,4,3.0,3,3,4,4,5,4.0,4.0,4,4.0,4,4.0,4,4.0,4.0
0,4,1,3,2,4,4,4,2.0,4,4,3,3,5,4.0,4.0,2,5.0,3,3.0,5,4.0,5.0
1,4,1,3,2,2,4,1,1.0,2,2,3,2,4,3.0,3.0,4,3.0,6,3.0,5,3.0,3.0
1,4,2,3,1,3,3,3,4.0,3,3,2,2,4,4.0,4.0,4,3.0,2,3.0,3,4.0,4.0
1,4,1,3,2,3,3,2,3.0,2,3,4,3,5,5.0,5.0,5,5.0,5,5.0,5,5.0,5.0
1,4,1,2,3,1,1,1,1.0,2,0,4,1,6,5.0,1.0,2,4.0,5,2.0,6,4.0,5.0
1,3,2,4,1,3,4,4,3.0,2,2,4,3,5,2.0,3.0,5,3.0,2,3.0,4,3.0,3.0
1,4,1,3,2,3,5,2,2.0,2,2,5,3,5,5.0,3.0,2,2.0,5,2.0,3,2.0,2.0
1,4,1,3,2,4,5,3,2.0,2,1,6,3,5,2.0,2.0,6,3.0,2,2.0,5,2.0,1.0
1,4,1,3,2,4,6,1,2.0,2,3,3,1,6,3.0,1.0,1,3.0,1,1.0,2,1.0,1.0
1,4,1,3,2,4,3,4,3.0,3,0,2,2,3,2.0,2.0,2,4.0,3,5.0,3,4.0,4.0
1,4,1,3,2,3,4,3,2.0,3,3,3,3,4,3.0,3.0,4,3.0,4,4.0,4,4.0,4.0
1,4,1,3,2,2,1,1,2.0,1,1,3,1,4,2.0,3.0,6,3.0,2,2.0,5,4.0,4.0
1,4,1,2,3,2,3,1,2.0,1,1,5,5,5,5.0,5.0,6,6.0,6,5.0,6,3.0,5.0
1,4,2,3,1,3,4,2,4.0,2,4,4,4,5,5.0,5.0,1,3.0,3,2.0,3,3.0,2.0
1,4,2,3,1,6,5,6,7.0,2,1,2,2,4,5.0,2.0,2,2.0,1,5.0,5,6.0,5.0
